IDs;Location;Basin;Latitude;Longitude;Other name
CSCI;NF Payette River Cascade Dam Inflow;Upper Snake;44.52489317;-116.0467983;NPCSC
DEDI;Deadwood River Deadwood Reservoir Inflow;Upper Snake;44.29194444;-115.6419444;DEADR
EMMI;Payette River Black Canyon Reservoir Inflow;Upper Snake*;43.93055556;-116.4427778;
FLTI;Flat Creek DS of cache cr nr Moose, WY;Upper Snake;43.4583611;-110.7970278;FCKY
GREY;Greys River ab reservoir nr Alpine, WY;Upper Snake;43.14305556;-110.9769444;
GVZN;Gros Ventre River at Zenith, WY;Upper Snake;43.5572222;-110.7627778;GROY
HEII;Snake River nr Heise, ID;Upper Snake*;43.6125;-111.66;SNKHE
BRUNEAUR;Bruneau River nr Hot Spring, ID;Upper Snake;42.7711111;-115.7202778;BRUNE
HRJW;Hoback River nr Jackson, WY;Upper Snake;43.2985408;-110.6701957;
HRSI;Payette River nr Horseshoe Bend, ID;Upper Snake*;43.9433333;-116.1966667;
JCKY;Jackson Lake Inflow;Upper Snake;43.85777778;-110.59;JLAKE
JKSY;Snake River blw Flat Creek nr Jackson, WY;Upper Snake;43.3722222;-110.7386111;
KIMI;Snake River nr Kimberly, ID;Upper Snake*;42.5908333;-114.3602778;SRKI
LORI;Snake River at Lorenzo, ID;Upper Snake*;43.73527778;-111.8780556;
LUCI;Boise River Lucky Peak Inflow;Upper Snake;43.52766907;-116.0595539;BOISE
MALHEUR;Malheur River blw Nevada Dam nr Vale, OR;Upper Snake*;43.9875;-117.2188889;MALHE
MILI;Snake River at Milner, ID;Upper Snake*;42.52805556;-114.0183333;MILNE
MINI;Snake River nr Minidoka, ID;Upper Snake*;42.67277778;-113.5002778;MINAD
MORI;Mores Creek in the vicinity of Boise, ID;Upper Snake;43.64805556;-115.9897222;
WOODGOOD;Malad River nr Gooding, ID;Upper Snake;42.88638889;-114.8030556;MLDI
OWY;Owyhee Reservoir Inflow;Upper Snake;43.65444444;-117.2558333;OWYHE
PALI;Snake River nr Irwin Palisades Inflow;Upper Snake;43.3508333;-111.2188889;PALIS
PARI;Boise River nr Parma, ID;Upper Snake*;43.78166667;-116.9727778;LBOIS
PABI;NF Payette River nr Banks, ID;Upper Snake;44.11416667;-116.1072222;
PAYI;NF Payette River at McCall;Upper Snake;44.9072222;-116.1191667;
PRLI;South Fork Payette River at Lowman, ID;Upper Snake;44.08527778;-115.6222222;PAYLO
PRPI;Payette River nr Payette, ID;Upper Snake*;44.0422222;-116.9252778;PAYET
PRRO;Powder River nr Richland, OR;Upper Snake;44.77766079;-117.2926855;POWDE
REXI;Henrys Fork nr Rexburg, ID;Upper Snake*;43.8258333;-111.905;HFORK
ROMO;Owyhee River nr Rome, OR;Upper Snake*;43.65444444;-117.2558333;REO
SALY;Salt River ab reservoir nr Etna, WY;Upper Snake;43.0797222;-111.0372222;
SHYI;Snake River nr Shelley, ID;Upper Snake*;43.41305556;-112.135;SNSHY
SKHI;Snake River at King Hill, ID;Upper Snake*;43.0022222;-115.2025;
SNYI;Snake River at Nyssa, OR;Upper Snake;43.8761111;-116.9825;
SRMO;Snake River at Moose, WY;Upper Snake;43.65405556;-110.7154722;MSEY
SWAI;Snake River nr Murphy, ID;Upper Snake*;43.2918313;-116.4209492;
WEII;Snake River nr Weiser, ID;Upper Snake*;44.24555556;-116.9808333;
WEISERR;Weiser River nr Weiser, ID;Upper Snake;44.27;-116.7722222;WSRI
BLKI;Blackfoot Reservoir Inflow;Upper Snake;43.0058;-111.7156;
BSHI;Blackfoot River nr Shelley, ID;Upper Snake;43.26277778;-112.0477778;
BURO;Burnt River at Huntington, OR;Upper Snake;44.35821698;-117.2732357;BURNT
CHEI;Falls River nr Chester, ID;Upper Snake;44.0183333;-111.5666667;
FALI;Falls River nr Squirrel, ID;Upper Snake;44.0686111;-111.2413889;
GRSY;Grassy Lake Inflow;Upper Snake;44.123767;-110.81805;
ANTI;Henrys Fork at St. Anthony, ID;Upper Snake;43.96694444;-111.6725;
HFAI;Henrys Fork nr Ashton, ID;Upper Snake;44.0697222;-111.5105556;
ISLI;Henrys Fork nr Island Park, ID Island Park Inflow;Upper Snake;44.41666667;-111.3947222;IPARK
HENI;Henrys Lake Inflow;Upper Snake;44.5944444;-111.3497222;HENRY
MFPI;Middle Fork Payette River nr Crouch, ID;Upper Snake;44.1086111;-115.9822222;
NPBI;NF Payette River nr Banks, ID;Upper Snake;44.11416667;-116.1072222;
PLEI;Payette River nr Leatha, ID;Upper Snake;43.8961111;-116.6277778;
SNKBLWLSALMON;Snake River blw Lower Salmon Falls nr Hagerman, ID;Upper Snake;42.76351349;-114.8883902;SLSI
SNAI;Snake River nr Blackfoot, ID;Upper Snake;43.1975;-112.3691667;
BUHL;Snake River nr Buhl, ID;Upper Snake;42.6658333;-114.7122222;
DGGI;Teton River abv S Leigh Creek;Upper Snake;43.78194444;-111.2091667;
TRXI;Teton River at Mouth;Upper Snake;43.844534;-111.884331;
TEAI;Teton River nr St. Anthony, ID;Upper Snake;43.9272222;-111.6138889;
RIRI;Willow Cr blw Ririe Dam Ririe Dam Inflow;Upper Snake;43.5833333;-111.746111;
SFNI;SOUTH FORK BOISE AT NEAL BRIDGE;Upper Snake;43.55055556;-115.7219444;
SALSM;SALMON RIVER AT SALMON;Upper Snake;45.1836111;-113.8952778;
SALYP;MIDDLE FORK SALMON RIVER AT MF LODGE NR YELLOW PINE;Upper Snake;44.72166667;-115.0163889;
SALMF;MIDDLE FORK SALMON RIVER AT MOUTH NR SHOUP;Upper Snake;45.2936111;-114.5963889;
SELLO;SELWAY RIVER NR LOWELL;Upper Snake;46.08666667;-115.5138889;
LOCLO;LOCHSA RIVER NR LOWELL;Upper Snake;46.1508333;-115.5872222;
CJSTR;SNAKE RIVER AT CJ STRIKE DAM;Upper Snake;42.94711569;-115.981204;
CRAO;DESCHUTES R BL CRANE PRAIRIE RES NR PINE, OREG;Deschutes;43.75345177;-121.7836399;
WICO;DESCHUTES R BL WICIUP RES NR LA PINE, OREG;Deschutes;43.68595349;-121.6880826;
CREO;CRESENT CR AT CRESENT LAKE NR CRECENT, OREG;Deschutes;43.5029027;-121.9733632;
LAPO;LITTLE DESCHUTES RIVER NEAR LA PINE, OR;Deschutes;43.6890102;-121.5028029;
BENO;DESCHUTES R AT BENHAM FALLS NR BEND, OREG;Deschutes;43.93011715;-121.4119746;
DEBO;DESCHUTES RIVER BELOW BEND, OREG;Deschutes;44.08289525;-121.30781;
TUMO;TUMALO CREEK BL TUMALO FEED CANAL NR BEND, OR;Deschutes;44.08761679;-121.3728117;
WHYCHUS;WHYCHUS CREEK NEAR SISTERS, OR;Deschutes;44.2337268;-121.5669877;
CULO;DESCHUTES RIVER NEAR CULVER, OR;Deschutes;44.4987293;-121.3211558;DESCH
PRVO;CROOKED RIVER NEAR PRINEVILLE, OR;Deschutes;44.1131815;-120.7955699;
OCHO;OCHOCO CR BL OCHOCO RS NR PRINEVILLE, OREG;Deschutes;44.2987395;-120.7289077;
CROO;CROOKED RIVER BELOW OPAL SPRINGS, NEAR CULVER, OR;Deschutes;44.4923407;-121.298377;CROOK
METOLIUS;METOLIUS RIVER NEAR GRANDVIEW, OR;Deschutes;44.6262275;-121.4839433;METOL
MADRAS;DESCHUTES RIVER NEAR MADRAS, OR;Deschutes;44.72595225;-121.2469939;PELTO
REREG;DESCHUTES RIVER AT MOODY  NEAR BIGGS;Deschutes;45.6220678;-120.9056203;
KEE;KEECHELUS RESERVOIR - YAK AT MARTIN;Yakima;47.32122417;-121.3362047;KEEMA
KAC;KACHESS RESERVOIR;Yakima;47.2612262;-121.2034242;KACHE
CLE;CLE ELUM RESERVOIR;Yakima;47.24456209;-121.0678642;CLERO
BUM;BUMPING RESERVOIR;Yakima;46.87261385;-121.292586;BUMPI
RIM;RIMROCK RESERVOIR - TIETON RIVER;Yakima;46.66261758;-121.1248017;RIMRO
AMRW;AMERICAN RIVER NEAR NILE, WA;Yakima;46.97761606;-121.168696;
CLFW;NACHES RIVER NEAR CLIFFDELL, WA;Yakima;46.9065078;-121.0270249;NACCL
NACW;NACHES RIVER NEAR NACHES, WA;Yakima;46.7454015;-120.76924;NACTI
PARW;YAKIMA RIVER NEAR PARKER, WA;Yakima;46.4970718;-120.4428397;YAPAR
EASW;YAKIMA RIVER AT EASTON, WA;Yakima;47.2387267;-121.1789787;YAKEA
YUMW;YAKIMA RIVER AT CLE ELUM, WA;Yakima;47.19123078;-120.9470269;YACLE
UMTW;YAKIMA RIVER AT UMTANUM, WA;Yakima;46.8626264;-120.480067;YAKUM
AUGW;AHTANUM CREEK AT UNION GAP;Yakima;46.53596038;-120.4733968;
YGVW;YAKIMA RIVER AT EUCLID RD BR NEAR GRANDVIEW, WA;Yakima;46.21679857;-119.9178163;YAEUC
KIOW;YAKIMA RIVER AT KIONA, WA;Yakima;46.25346748;-119.4780794;YAKKI
SAN;BULL RUN;Sandy;45.4490094;-122.2450885;SANDY
APP;Applegate;Rogue;42.2415113;-123.1400485;
ALBO;WILLAMETTE RIVER AT ALBANY  (NWP);Willamette;44.6333333333;-123.1;WILAL
EGLO;Rogue;Rogue;42.5248471;-122.8428203;
GOSO;COAST FORK WILLAMETTE RIVER NEAR GOSHEN 3SE  (NWP);Willamette;43.9666666667;-122.9513888889;WILGO
GRAO;Grants Pass;Rogue;42.43039607;-123.3178365;
HARO;WILLAMETTE RIVER AT HARRISBURG  (NWP);Willamette;44.2677777778;-123.1669444444;WILHA
JASO;MIDDLE FORK WILLAMETTE RIVER AT JASPER  (NWP);Willamette;43.99818166;-122.9059126;WILMF
JFFO;SANTIAM RIVER AUX NEAR JEFFERSON 1W  (NWP);Willamette;44.7147222;-123.01425;SANJE
MEHO;NORTH SANTIAM RIVER AT MEHAMA  (NWP);Willamette;44.7890109;-122.6186967;SANME
MNRO;LONG TOM RIVER AT MONROE  (NWP);Willamette;44.31290047;-123.2964859;LONTO
RYGO;Raygold;Rogue;42.43734597;-122.9872678;
VIDO;MCKENZIE RIVER NEAR VIDA 5E  (NWP);Willamette;44.1248487;-122.47062;MCKVI
WTLO;SOUTH SANTIAM RIVER AT WATERLOO  (NWP);Willamette;44.4847222222;-122.8166666667;SANWA
LUCKI;LUCKIAMUTE RIVER NEAR SUVER;Willamette;44.78317527;-123.2345435;
WILLA;WILLAMETTE RIVER AT NEWBERG;Willamette;45.2845625;-122.9614893;
MOLAL;MOLALLA RIVER NEAR CANBY;Willamette;45.24428767;-122.687314;
CLKTH;CLACKAMAS RIVER ABOVE THREE LYNX CREEK;Willamette;45.1248432;-122.0734137;
YAMMC;SOUTH YAMHILL RIVER AT MCMINNVILLE;Willamette;45.2056719;-123.1826047;
TULIN;TUALATIN RIVER AT WEST LINN;Willamette;45.35067559;-122.6762044;
WILPO;WILLAMETTE RIVER AT PORTLAND;Willamette;45.5175;-122.6691667;
CRVAN;COLUMBIA RIVER AT VANCOUVER;Lower Columbia;45.62067265;-122.6734306;
COWCA;COWLITZ RIVER AT CASTLE ROCK;Lower Columbia;46.2748332;-122.9145587;
KALAR;KALAMA RIVER NEAR KALAMA;Lower Columbia;46.0470581;-122.8376072;
HAH;Green River at Howard Hanson;Western Washington;47.2837143;-121.797885;
AUB;Green River near Auburn;Western Washington;47.3123228;-122.2040082;GREAU
MUD;White River at Mud Mountain;Western Washington;47.1467703;-121.8601066;
WRB;White River at Buckley;Western Washington;47.17426836;-122.0203897;WHIBU
PUY;Purallup River at Puyallup;Western Washington;47.20843358;-122.3270652;
CAR;Carbon River near Fairfax, WA;Western Washington;47.02788105;-122.0326105;
POT;Puyallup River near Orting, Wa;Western Washington;47.03926867;-122.2078925;
CHE;Chehalis River at Porter;Western Washington;46.93926375;-123.3143194;CHEPO
WHM;Wynoochee River above black Creek near Montesano, WA;Western Washington;47.0114831;-123.6554417;
WYD;Wynoochee River at Wynoochee Dam;Western Washington;47.38036689;-123.6098916;
SKC;Skagit River near Concrete, Wa;Western Washington;48.52428059;-121.770974;
SAUKR;SAUK RIVER NEAR SAUK;Western Washington;48.42455859;-121.5684634;
CED;Cedar River at Renton, WA;Western Washington;47.4825999;-122.2034547;
CHEGR;CHEHALIS RIVER NEAR GRAND MOUND;Western Washington;46.7759343;-123.0356919;
SKYGB;SKYKOMISH RIVER NEAR GOLD BAR  WA;Western Washington;47.83732546;-121.6667809;
SNOMO;SNOHOMISH RIVER NEAR MONROE;Western Washington;47.830932;-122.048459;
NFSTI;NF STILLAGUAMISH RIVER NEAR ARLINGTON;Western Washington;48.26149178;-122.0476407;
SKAMO;SKAGIT RIVER NEAR MOUNT VERNON;Western Washington;48.4448278;-122.3354369;
LIBFI;FISHER RIVER NEAR LIBBY;Kootenai;48.35560278;-115.31465;
YAKTR;YAAK RIVER NEAR TROY;Kootenai;48.5617222;-115.9701583;
LEONI;KOOTENAI RIVER AT LEONIA;Kootenai;48.617719;-116.0474073;
FLANF;NORTH FORK FLATHEAD RIVER NEAR COLUMBIA FALLS;Pend Oreille;48.4957972;-114.1267639;
FLAWE;MIDDLE FORK FLATHEAD RIVER NEAR WEST GLACIER;Pend Oreille;48.49551667;-114.0102083;
JOCDI;JOCKO RIVER AT DIXON;Pend Oreille;47.31211389;-114.2973778;
CLAPL;CLARK FORK RIVER NEAR PLAINS;Pend Oreille;47.4292;-114.8565333;
THOMP;THOMPSON RIVER NEAR THOMPSON FALLS;Pend Oreille;47.5918583;-115.229536;
OKANA;OKANOGAN RIVER AT MALOTT;Mid-Columbia;48.2812606;-119.7045047;
METPA;METHOW RIVER NEAR PATEROS;Mid-Columbia;48.0773639;-119.9850723;
WENPE;WENATCHEE RIVER AT PESHASTIN;Mid-Columbia;47.5831777;-120.6195306;
WENMO;WENATCHEE RIVER AT MONITOR;Mid-Columbia;47.49929148;-120.4245223;
CLKEN;COLUMBIA RIVER AT CLOVER ISLAND AT KENNEWICK;Mid-Columbia;46.21652359;-119.0997323;
QUECL;QUEETS RIVER NEAR CLEARWATER;Queets;47.5378588;-124.3157457;
HOHFO;HOH RIVER AT US HIGHWAY 101 NEAR FORKS;Hoh;47.80674726;-124.2510329;
QUIQU;QUINAULT RIVER AT QUINAULT LAKE;Quinault;47.4575863;-123.8893446;
ELWPO;ELWHA RIVER AT MCDONALD BR NEAR PORT ANGELES;Elwha;48.0548114;-123.5832462;
SATSA;SATSOP RIVER NEAR SATSOP;Satsop;47.0006512;-123.4948838;
SKOPO;SKOKOMISH RIVER NEAR POTLATCH;Skokomish;47.3098151;-123.1770995;
CALAP;CALAPOOIA RIVER AT ALBANY;Calapooia;44.62067728;-123.1289843;
DUNDU;DUNGENESS RIVER AT DUNGENESS;Dungeness;48.14425967;-123.129067;
ROPIT;ROW RIVER ABOVE PITCHER CREEK  NEAR DORENA;Willamette;43.7359565;-122.8734019;
TOUTL;TOUTLE RIVER AT TOWER ROAD NEAR SILVER LAKE;Toutle;46.3338888889;-122.8333333333;
NOOFE;NOOKSACK RIVER AT FERNDALE;Nooksack;48.84483249;-122.5893389;
WILNF;MF WILLAMETTE RIVER BLW N FORK  NR OAKRIDGE;Willamette;43.8013888889;-122.5513888889;
COWKO;COWLITZ RIVER NEAR KOSMOS;Cowlitz;46.4662217;-122.1089856;
NOSAN;NO SANTIAM RIVER BLW BOULDER CRK  NR DETROIT;Santiam;44.7013888889;-122.1;
LEWCO;LEWIS RIVER NEAR MUDDY RIVER NEAR COUGAR;Lewis;46.06039127;-121.984531;
COWLI;COWLITZ RIVER AT RANDALL;Cowlitz;46.5323332;-121.9567607;
CISPU;CISPUS RIVER NEAR RANDLE;Cispus;46.44705689;-121.8639783;
WINDR;WIND RIVER NEAR CARSON;Wind;45.7267837;-121.794799;
GLENW;KLICKITAT RIVER NEAR GLENWOOD;Klicktat;46.08873348;-121.2595207;
WARMS;WARM SPRINGS RIVER NEAR KAHNEETA HOT SPRINGS;Warm Springs;44.8565087;-121.1497735;
SUMMI;KLICKITAT RIVER BELOW SUMMIT CREEK NEAR GLENWOOD;Klicktat;45.962345;-121.102295;
KLICK;Little KLICKITAT RIVER NEAR WAHKIACUS;Klickitat;45.8430555556;-121.0580555556;
TIECH;TIETON RIVER AT CANAL HEADWORKS NEAR NACHES;Tieton;46.67095305;-121.0039662;
STEHE;STEHEKIN RIVER AT STEHEKIN;Stehekin;48.32958017;-120.6917668;
WENPL;WENATCHEE RIVER NEAR PLAIN;Wenatchee;47.7628995;-120.6662039;
PASAY;PASAYTEN RIVER ABOVE CALCITE CREEK;Pasayten;49.0988888889;-120.5822222222;
TULPR;TULAMEEN RIVER AT PRINCETON;Tulameen;49.4575;-120.5180555556;
SIMPR;SIMILKAMEEN RIVER AT PRINCETON;Similkameen;49.4597222222;-120.5019444444;
ROCHI;ROCK CREEK AT OLD HIGHWAY 8 BRIDGE;Rock Creek;45.7477777778;-120.4366666667;
ENTAR;ENTIAT RIVER NEAR ARDENVOIR;Entiat;47.81846178;-120.4231438;
JOHND;JOHN DAY RIVER AT MCDONALD FERRY;John Day;45.5876278;-120.4094919;
METGO;METHOW RIVER ABOVE GOAT CREEK NEAR MAZAMA;Methow;48.5737538;-120.3850944;
ENTIA;ENTIAT RIVER NEAR ENTIAT;Entiat;47.663185;-120.250634;
CHEWU;CHEWUCH RIVER AT WINTHROP;Chewuch;48.4770898;-120.1864734;
METWI;METHOW RIVER AT WINTHROP;Methow;48.4734787;-120.1773063;
SIMHE;SIMILKAMEEN RIVER NEAR HEDLEY;Similkameen;49.3775;-120.1516666667;
TWISP;TWISP RIVER NEAR TWISP;Twisp;48.3698671;-120.148693;
METTW;METHOW RIVER AT TWISP;Methow;48.36514507;-120.1161917;
ROCCR;ROCK CREEK ABOVE WHYTE PARK NEAR CONDON;Rock Creek;45.26457638;-120.0219745;
YAKMA;YAKIMA RIVER AT MABTOM;Yakima;46.23124238;-119.9994858;
ASHNO;ASHNOLA RIVER NEAR KEREMEOS;Ashnola;49.2091666667;-119.9897222222;
CRABC;CRAB CREEK NEAR BEVERLY;Crab Creek;46.8298556;-119.8311549;
JOHNR;JOHN DAY RIVER AT PICTURE GORGE  NR DAYVILLE;John Day;44.5206992;-119.6260938;
SIMNI;SIMILKAMEEN RIVER NEAR NIGHTHAWK;Similkameen;48.9847222222;-119.6172222222;
OKAPE;OKANAGAN RIVER AT PENTICTON;Okanagan;49.4955555556;-119.6152777778;
OKFAL;OKANAGAN RIVER AT OKANAGON FALLS;Okanagan;49.3405555556;-119.5777777778;
OKANO;OKANOGAN RIVER NEAR TONASKET;Okanagan;48.632375;-119.4617229;
SIMOR;SIMILKAMEEN RIVER AT OROVILLE;Similkameen;48.9346056;-119.4420105;
JOHNF;NORTH FORK JOHN DAY RIVER AT MONUMENT;John Day;44.8137582;-119.4316565;
OKAOR;OKANOGAN RIVER NEAR OROVILLE;Okanogan;48.9307184;-119.4203419;
MISSI;MISSION CREEK NEAR EAST KELOWNA;Mission Creek;49.8788888889;-119.4130555556;
UMATI;UMATILLA RIVER NEAR UMATILLA;Umatilla;45.9029103;-119.3269618;
VERNO;VERNON CREEK AT OUTLET OF KALAMALKA LAKE;Vernon Creek;50.2383333333;-119.2652777778;
CRAMO;CRAB CREEK NEAR MOSES LAKE;Crab Creek;47.1893085;-119.265855;
WESKE;WEST KETTLE RIVER AT WESTBRIDGE;Kettle;49.17;-118.9744444444;
WILCO;WILSON CREEK BELOW CORBET DRAW NEAR ALMIRA;Wilson Creek;47.6629263;-118.9305666;
KETWE;KETTLE RIVER NEAR WESTBRIDGE;Kettle;49.23;-118.9275;
CRAIR;CRAB CREEK AT IRBY;Crab Creek;47.3604238;-118.8500022;
